Entry_No.,Car_Id,Car_Name,Car_Type_Id,Car_Type,Start_Date,End_Date,City_ID,City_Name
1,1,Chevrolet Corvette,1,SUV,16-06-2021,06-10-2021,1,Kolkata
2,2,Honda Accord,2,SEDAN,10-06-2021,11-10-2021,2,Mumbai
3,3,Jeep Gladiator,3,HATCHBACK,13-01-2021,31-07-2021,3,Chennai
4,4,Kia Telluride,1,SUV,21-03-2021,09-09-2021,4,Delhi
5,5,Mazda CX-5,2,SEDAN,11-02-2021,31-07-2021,1,Kolkata
6,6,Porsche 718,3,HATCHBACK,13-07-2021,15-10-2021,2,Mumbai
7,7,Porsche Macan,1,SUV,13-05-2021,27-10-2021,3,Chennai
8,8,Ram 1500,2,SEDAN,18-03-2021,18-11-2021,4,Delhi
9,1,Chevrolet Corvette,2,SEDAN,27-01-2021,12-09-2021,4,DELHI
10,2,Honda Accord,1,SUV,04-02-2021,27-10-2021,4,DELHI
11,6,Porsche 718,1,SUV,26-03-2021,20-08-2021,2,MUMBAI
12,6,Porsche 718,2,SEDAN,22-02-2021,08-12-2021,4,DELHI
13,8,Ram 1500,2,SEDAN,01-02-2021,09-11-2021,2,MUMBAI
14,6,Porsche 718,3,HATCHBACK,18-03-2021,08-07-2021,3,CHENNAI
15,8,Ram 1500,2,SEDAN,31-03-2021,20-10-2021,1,KOLKATA
16,8,Ram 1500,2,SEDAN,28-02-2021,15-12-2021,3,CHENNAI
17,4,Kia Telluride,2,SEDAN,05-03-2021,17-12-2021,3,CHENNAI
18,2,Honda Accord,3,HATCHBACK,05-05-2021,16-10-2021,2,MUMBAI
19,3,Jeep Gladiator,3,HATCHBACK,28-06-2021,11-08-2021,1,KOLKATA
20,6,Porsche 718,2,SEDAN,23-01-2021,10-07-2021,3,CHENNAI
21,6,Porsche 718,3,HATCHBACK,17-01-2021,08-08-2021,1,KOLKATA
22,5,Mazda CX-5,1,SUV,07-03-2021,09-08-2021,3,CHENNAI
23,5,Mazda CX-5,1,SUV,12-04-2021,22-07-2021,4,DELHI
24,8,Ram 1500,1,SUV,22-04-2021,12-07-2021,2,MUMBAI
25,5,Mazda CX-5,3,HATCHBACK,03-03-2021,22-08-2021,3,CHENNAI
26,6,Porsche 718,1,SUV,16-01-2021,23-07-2021,3,CHENNAI
27,5,Mazda CX-5,1,SUV,08-07-2021,31-10-2021,3,CHENNAI
28,5,Mazda CX-5,1,SUV,15-07-2021,01-12-2021,3,CHENNAI
29,6,Porsche 718,3,HATCHBACK,11-05-2021,28-07-2021,1,KOLKATA
30,4,Kia Telluride,1,SUV,28-06-2021,09-12-2021,2,MUMBAI
31,7,Porsche Macan,2,SEDAN,29-05-2021,09-10-2021,2,MUMBAI
32,7,Porsche Macan,2,SEDAN,05-06-2021,08-09-2021,1,KOLKATA
33,2,Honda Accord,2,SEDAN,04-07-2021,15-11-2021,2,MUMBAI
34,3,Jeep Gladiator,3,HATCHBACK,31-05-2021,05-10-2021,3,CHENNAI
35,7,Porsche Macan,2,SEDAN,06-05-2021,11-08-2021,1,KOLKATA
36,8,Ram 1500,2,SEDAN,25-04-2021,25-11-2021,2,MUMBAI
37,4,Kia Telluride,3,HATCHBACK,15-06-2021,11-08-2021,3,CHENNAI
38,4,Kia Telluride,2,SEDAN,13-01-2021,18-11-2021,2,MUMBAI
39,8,Ram 1500,1,SUV,02-06-2021,16-12-2021,3,CHENNAI
40,2,Honda Accord,2,SEDAN,31-05-2021,10-09-2021,4,DELHI
41,1,Chevrolet Corvette,3,HATCHBACK,06-02-2021,03-11-2021,4,DELHI
42,3,Jeep Gladiator,1,SUV,23-05-2021,01-12-2021,1,KOLKATA
